Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,Column178,Column179,Column180,Column181,Column182,Column183,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196,Column197,Column198,Column199,Column200,Column201,Column202,Column203,Column204,Column205,Column206,Column207,Column208,Column209,Column210,Column211,Column212,Column213,Column214,Column215,Column216,Column217,Column218,Column219,Column220,Column221,Column222,Column223,Column224,Column225,Column226,Column227,Column228,Column229,Column230,Column231,Column232,Column233,Column234,Column235,Column236,Column237,Column238,Column239,Column240,Column241,Column242,Column243,Column244,Column245,Column246,Column247,Column248,Column249,Column250,Column251,Column252,Column253,Column254,Column255,Column256,Column257,Column258,Column259,Column260,Column261,Column262,Column263,Column264,Column265,Column266,Column267,Column268,Column269,Column270,Column271,Column272,Column273,Column274,Column275,Column276,Column277,Column278,Column279,Column280,Column281,Column282,Column283,Column284,Column285,Column286,Column287,Column288,Column289,Column290,Column291,Column292,Column293,Column294,Column295,Column296,Column297,Column298,Column299,Column300,Column301,Column302,Column303,Column304,Column305,Column306,Column307,Column308,Column309,Column310,Column311,Column312,Column313,Column314,Column315,Column316,Column317,Column318,Column319,Column320,Column321,Column322,Column323,Column324,Column325,Column326,Column327,Column328,Column329,Column330,Column331,Column332,Column333,Column334,Column335,Column336,Column337,Column338,Column339,Column340,Column341,Column342,Column343,Column344,Column345,Column346,Column347,Column348,Column349,Column350,Column351,Column352,Column353,Column354,Column355,Column356,Column357,Column358,Column359,Column360,Column361,Column362,Column363,Column364,Column365,Column366,Column367,Column368,Column369
"Abdel Maksoud M.I.A., El-Sayyad G.S., Abd Elkodous M., Awed A.S.",57202917751;57203584071;57201641040;57202300967;,"Controllable synthesis of Co1−x MxFe2O4 nanoparticles (M = Zn, Cu, and Mn; x = 0.0 and 0.5) by cost-effective sol–gel approach: analysis of structure, elastic, thermal, and magnetic properties",2020,Journal of Materials Science: Materials in Electronics,31,12,,9726,9741,,2,10.1007/s10854-020-03518-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084353981&doi=10.1007%2fs10854-020-03518-0&partnerID=40&md5=e9d203953961b8d09063f101ba1c99a6,"Materials Science Lab., Radiation Physics Department, National Center for Radiation Research and Technology (NCRRT), Atomic Energy Authority, Cairo, Egypt; Chemical Engineering Department, Military Technical College (MTC), Egyptian Armed Forces, Cairo, Egypt; Drug Radiation Research Department, National Center for Radiation Research and Technology (NCRRT) Atomic Energy Authority, Cairo, Egypt; Department of Electrical and Electronic Information Engineering, Toyohashi University of Technology, Toyohashi, Aichi  441-8580, Japan; Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza  16453, Egypt; Higher Institute of Engineering and Technology, Manzala, Egypt","Abdel Maksoud, M.I.A., Materials Science Lab., Radiation Physics Department, National Center for Radiation Research and Technology (NCRRT), Atomic Energy Authority, Cairo, Egypt; El-Sayyad, G.S., Chemical Engineering Department, Military Technical College (MTC), Egyptian Armed Forces, Cairo, Egypt, Drug Radiation Research Department, National Center for Radiation Research and Technology (NCRRT) Atomic Energy Authority, Cairo, Egypt; Abd Elkodous, M., Department of Electrical and Electronic Information Engineering, Toyohashi University of Technology, Toyohashi, Aichi  441-8580, Japan, Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza  16453, Egypt; Awed, A.S., Higher Institute of Engineering and Technology, Manzala, Egypt",Article,Final,,Scopus,2-s2.0-85084353981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EL-Latif A.A.A., Abd-El-Atty B., Venegas-Andraca S.E.",8578949200;57191886756;8957920100;,Controlled alternate quantum walk-based pseudo-random number generator and its application to quantum color image encryption,2020,Physica A: Statistical Mechanics and its Applications,547,,123869,,,,7,10.1016/j.physa.2019.123869,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077722097&doi=10.1016%2fj.physa.2019.123869&partnerID=40&md5=ac2ce1b68993d16027c868228f310e08,"Mathematics and Computer Science Department, Faculty of Science, Menoufia University, Shebin El-Koom32511, Egypt; Department of Cybersecurity, College of Computer Science and Engineering, University of Jeddah, Jeddah, 23890, Saudi Arabia; School of Information Technology and Computer Science, Nile University, Sheikh Zayed, 12588, Egypt; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, 150080, China; Tecnologico de Monterrey, Escuela de Ingenieria y Ciencias. Ave. Eugenio Garza Sada 2501, Monterrey, NL, 64849, Mexico","EL-Latif, A.A.A., Mathematics and Computer Science Department, Faculty of Science, Menoufia University, Shebin El-Koom32511, Egypt, Department of Cybersecurity, College of Computer Science and Engineering, University of Jeddah, Jeddah, 23890, Saudi Arabia, School of Information Technology and Computer Science, Nile University, Sheikh Zayed, 12588, Egypt, School of Computer Science and Technology, Harbin Institute of Technology, Harbin, 150080, China; Abd-El-Atty, B., Mathematics and Computer Science Department, Faculty of Science, Menoufia University, Shebin El-Koom32511, Egypt; Venegas-Andraca, S.E., Tecnologico de Monterrey, Escuela de Ingenieria y Ciencias. Ave. Eugenio Garza Sada 2501, Monterrey, NL, 64849, Mexico",Article,Final,,Scopus,2-s2.0-85077722097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abd EL-Latif A.A., Abd-El-Atty B., Abou-Nassar E.M., Venegas-Andraca S.E.",8578949200;57191886756;56545632500;8957920100;,Controlled alternate quantum walks based privacy preserving healthcare images in Internet of Things,2020,Optics and Laser Technology,124,,105942,,,,11,10.1016/j.optlastec.2019.105942,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076030807&doi=10.1016%2fj.optlastec.2019.105942&partnerID=40&md5=ec74c0ebe780a22b7acdeb889f4aae48,"Mathematics and Computer Science Department, Faculty of Science, Menoufia University, Shebin El-Koom, 32511, Egypt; School of Information Technology and Computer Science, Nile University, Egypt; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, 150080, China; Tecnologico de Monterrey, Escuela de Ingenieria y Ciencias, Ave. Eugenio Garza Sada 2501, Monterrey, NL  64849, Mexico","Abd EL-Latif, A.A., Mathematics and Computer Science Department, Faculty of Science, Menoufia University, Shebin El-Koom, 32511, Egypt, School of Information Technology and Computer Science, Nile University, Egypt, School of Computer Science and Technology, Harbin Institute of Technology, Harbin, 150080, China; Abd-El-Atty, B., Mathematics and Computer Science Department, Faculty of Science, Menoufia University, Shebin El-Koom, 32511, Egypt; Abou-Nassar, E.M., Mathematics and Computer Science Department, Faculty of Science, Menoufia University, Shebin El-Koom, 32511, Egypt; Venegas-Andraca, S.E., Tecnologico de Monterrey, Escuela de Ingenieria y Ciencias, Ave. Eugenio Garza Sada 2501, Monterrey, NL  64849, Mexico",Article,Final,,Scopus,2-s2.0-85076030807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Semary M.S., Hassan H.N., Radwan A.G.",55965848500;36141734400;7103379659;,Controlled Picard Method for Solving Nonlinear Fractional Reaction–Diffusion Models in Porous Catalysts,2017,Chemical Engineering Communications,204,6,,635,647,,8,10.1080/00986445.2017.1300151,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018635539&doi=10.1080%2f00986445.2017.1300151&partnerID=40&md5=44ad697d1e15846cdac108aaf43463a4,"Department of Basic Engineering Sciences, Benha Faculty of Engineering, Benha University, Benha, Egypt; Department of Basic Sciences, Deanship of Preparatory Year and Supporting Studies, University of Dammam, Dammam, Saudi Arabia; Engineering Mathematics and Physics Department, Cairo University, Giza, Egypt; Nanoelectronics Integrated Systems Center (NISC), Nile University, Giza, Egypt","Semary, M.S., Department of Basic Engineering Sciences, Benha Faculty of Engineering, Benha University, Benha, Egypt; Hassan, H.N., Department of Basic Engineering Sciences, Benha Faculty of Engineering, Benha University, Benha, Egypt, Department of Basic Sciences, Deanship of Preparatory Year and Supporting Studies, University of Dammam, Dammam, Saudi Arabia; Radwan, A.G., Engineering Mathematics and Physics Department, Cairo University, Giza, Egypt, Nanoelectronics Integrated Systems Center (NISC), Nile University, Giza, Egypt",Article,Final,,Scopus,2-s2.0-85018635539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amr P., Abdelbaki N.",56004953000;55932162200;,Convergence study of IPv6 tunneling techniques,2014,IEEE International Conference on Communications,,,6866678,,,,3,10.1109/ICComm.2014.6866678,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907363563&doi=10.1109%2fICComm.2014.6866678&partnerID=40&md5=a1e9af293ac6f89dbc13f08b6b883df8,"Nile University, School of Communication and Information Technology, Cairo, Egypt","Amr, P., Nile University, School of Communication and Information Technology, Cairo, Egypt; Abdelbaki, N., Nile University, School of Communication and Information Technology, Cairo, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84907363563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amer K., Samy M., Elhakim R., Shaker M., Elhelw M.",57201859388;57201853944;35791659400;57197349575;7801537176;,Convolutional Neural Network-Based Deep Urban Signatures with Application to Drone Localization,2017,"Proceedings - 2017 IEEE International Conference on Computer Vision Workshops, ICCVW 2017",2018-January,,,2138,2145,,4,10.1109/ICCVW.2017.250,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046249392&doi=10.1109%2fICCVW.2017.250&partnerID=40&md5=516b9337780bb7fac553b687173cb8d7,"Center for Informatics Science, Nile University, Egypt","Amer, K., Center for Informatics Science, Nile University, Egypt; Samy, M., Center for Informatics Science, Nile University, Egypt; Elhakim, R., Center for Informatics Science, Nile University, Egypt; Shaker, M., Center for Informatics Science, Nile University, Egypt; Elhelw, M., Center for Informatics Science, Nile University, Egypt",Conference Paper,Final,,Scopus,2-s2.0-85046249392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khalaf A.F., Yassine I.A., Fahmy A.S.",56769240800;8664279000;7004440552;,Convolutional neural networks for deep feature learning in retinal vessel segmentation,2016,"Proceedings - International Conference on Image Processing, ICIP",2016-August,,7532384,385,388,,15,10.1109/ICIP.2016.7532384,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006700487&doi=10.1109%2fICIP.2016.7532384&partnerID=40&md5=ab2dcb74f8aebfe6229bae6ae2509702,"Systems and Biomedical Engineering Department, Faculty of Engineering, Cairo University, Egypt; Medical Informatics and Image Processing Lab, Nile University, Giza, Egypt","Khalaf, A.F., Systems and Biomedical Engineering Department, Faculty of Engineering, Cairo University, Egypt, Medical Informatics and Image Processing Lab, Nile University, Giza, Egypt; Yassine, I.A., Systems and Biomedical Engineering Department, Faculty of Engineering, Cairo University, Egypt, Medical Informatics and Image Processing Lab, Nile University, Giza, Egypt; Fahmy, A.S., Systems and Biomedical Engineering Department, Faculty of Engineering, Cairo University, Egypt, Medical Informatics and Image Processing Lab, Nile University, Giza, Egypt",Conference Paper,Final,,Scopus,2-s2.0-85006700487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amer R., El-Sherif A.A., Ebrahim H., Mokhtar A.",57189248160;23566337700;25031309900;24724879100;,Cooperation and underlay mode selection in cognitive radio network,2016,"5th International Conference on Future Generation Communication Technologies, FGCT 2016",,,7605066,36,41,,2,10.1109/FGCT.2016.7605066,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999711680&doi=10.1109%2fFGCT.2016.7605066&partnerID=40&md5=52cbb43778d3cec9841f633667902c6e,"Switching Department, National Telecommunication Institute, Cairo, Egypt; Dept. of Electrical Engineering, Alexandria University, Alexandria, 21544, Egypt; Wireless Intelligent Networks Center (WINC), Nile University, Egypt","Amer, R., Switching Department, National Telecommunication Institute, Cairo, Egypt; El-Sherif, A.A., Dept. of Electrical Engineering, Alexandria University, Alexandria, 21544, Egypt, Wireless Intelligent Networks Center (WINC), Nile University, Egypt; Ebrahim, H., Switching Department, National Telecommunication Institute, Cairo, Egypt; Mokhtar, A., Dept. of Electrical Engineering, Alexandria University, Alexandria, 21544, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84999711680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raafat A.M., Fathy M., Yehia A., Azer M.A.",57208048974;57207502405;36449401500;24476232400;,Cooperation incentives in wireless ad hoc networks,2010,ICETC 2010 - 2010 2nd International Conference on Education Technology and Computer,5,,5530059,V5332,V5337,,3,10.1109/ICETC.2010.5530059,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956079656&doi=10.1109%2fICETC.2010.5530059&partnerID=40&md5=7f44958c803aa024b21b8395e462c769,"Nile University Cairo, Egypt","Raafat, A.M., Nile University Cairo, Egypt; Fathy, M., Nile University Cairo, Egypt; Yehia, A., Nile University Cairo, Egypt; Azer, M.A., Nile University Cairo, Egypt",Conference Paper,Final,,Scopus,2-s2.0-77956079656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ashour M., El-Sherif A.A., Elbatt T., Mohamed A.",56454048900;23566337700;6602728758;55763482600;,Cooperative access in cognitive radio networks: Stable throughput and delay tradeoffs,2014,"2014 12th International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks, WiOpt 2014",,,6850308,263,270,,10,10.1109/WIOPT.2014.6850308,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904968339&doi=10.1109%2fWIOPT.2014.6850308&partnerID=40&md5=82e86d72c0d96e962567dabf9f343d9e,"Computer Science and Engineering Department, Qatar University, Doha, Qatar; Dept. of Electrical Engineering, Alexandria University, Alexandria 21544, Egypt; Wireless Intelligent Networks Center (WINC), Nile University, Giza, Egypt; EECE Dept., Faculty of Engineering, Cairo University, Giza, Egypt","Ashour, M., Computer Science and Engineering Department, Qatar University, Doha, Qatar; El-Sherif, A.A., Dept. of Electrical Engineering, Alexandria University, Alexandria 21544, Egypt; Elbatt, T., Wireless Intelligent Networks Center (WINC), Nile University, Giza, Egypt, EECE Dept., Faculty of Engineering, Cairo University, Giza, Egypt; Mohamed, A., EECE Dept., Faculty of Engineering, Cairo University, Giza, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84904968339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shafie A.E., Khattab T.",55669885600;8334317300;,Cooperative cognitive relaying under primary and secondary quality of service satisfaction,2014,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC",2014-June,,7136304,953,958,,1,10.1109/PIMRC.2014.7136304,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944322027&doi=10.1109%2fPIMRC.2014.7136304&partnerID=40&md5=6386a533564b26c0b2af7bc15ec7e4ae,"Wireless Intelligent Networks Center (WINC), Nile University, Giza, Egypt; Electrical Engineering, Qatar University, Doha, Qatar","Shafie, A.E., Wireless Intelligent Networks Center (WINC), Nile University, Giza, Egypt; Khattab, T., Electrical Engineering, Qatar University, Doha, Qatar",Conference Paper,Final,,Scopus,2-s2.0-84944322027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"El Shafie A., Sultan A.",57201193426;35191189900;,Cooperative cognitive relaying with ordered cognitive multiple access,2012,GLOBECOM - IEEE Global Telecommunications Conference,,,6503312,1416,1421,,7,10.1109/GLOCOM.2012.6503312,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877663641&doi=10.1109%2fGLOCOM.2012.6503312&partnerID=40&md5=a745be163c5dff24986c5a44c9a9299e,"Wireless Intelligent Networks Center (WINC), Nile University, Giza, Egypt; Department of Electrical Engineering, Alexandria University, Alexandria, Egypt","El Shafie, A., Wireless Intelligent Networks Center (WINC), Nile University, Giza, Egypt; Sultan, A., Department of Electrical Engineering, Alexandria University, Alexandria, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84877663641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seif M., El-Keyi A., Seddik K.G., Nafie M.",56808986000;8882086900;16418096400;6701337161;,Cooperative D2D communication in downlink cellular networks with energy harvesting capability,2017,"2017 13th International Wireless Communications and Mobile Computing Conference, IWCMC 2017",,,7986283,183,189,,4,10.1109/IWCMC.2017.7986283,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027870611&doi=10.1109%2fIWCMC.2017.7986283&partnerID=40&md5=2c03a00723db44ef2a070c1bcacc496d,"Wireless Intelligent Networks Center (WINC), Nile University, Giza, Egypt; EECE Dept., Faculty of Engineering, Cairo University, Giza, Egypt; Department of Systems and Computer Engineering, Carleton University, Ottawa, Canada; Electronics and Communications Engineering Department, American University in Cairo, New Cairo, 11835, Egypt","Seif, M., Wireless Intelligent Networks Center (WINC), Nile University, Giza, Egypt; El-Keyi, A., Department of Systems and Computer Engineering, Carleton University, Ottawa, Canada; Seddik, K.G., Electronics and Communications Engineering Department, American University in Cairo, New Cairo, 11835, Egypt; Nafie, M., Wireless Intelligent Networks Center (WINC), Nile University, Giza, Egypt, EECE Dept., Faculty of Engineering, Cairo University, Giza, Egypt",Conference Paper,Final,,Scopus,2-s2.0-85027870611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
